fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220530 172522	0	0	0	1	auto	depthwise	256	0	1	0.0100719748170302	0.996199082441483	1	27	0.0107725712945551	234	11352000	44
20220530 172747	0	0	0	1	auto	depthwise	256	0	1	0.0798220023910787	0.212600593239064	10	3	0.0178916895379098	206	13190000	45
20220530 174233	0	0	0	1	auto	depthwise	256	0	1	0.0100296865884307	0.434733494597924	9	2	0.0133317327016727	1359	13147000	46
20220530 174411	0	0	0	1	auto	depthwise	256	0	1	0.113989222824195	0.402395830657772	1	2	0.0126842181760859	105	12904000	47
20220530 174907	0	0	0	1	auto	depthwise	256	0	1	0.0876425087602418	0.998901023312621	7	5	0.012194134717121	47	12770000	48
20220530 175537	0	0	0	1	auto	depthwise	256	0	1	0.0141683250852989	0.307384378263546	8	2	0.0173531212708775	656	13210000	49
20220530 181325	0	0	0	1	auto	depthwise	256	0	1	0.0100888482280528	0.367377770655075	10	8	0.0171290851516775	333	13244000	50
20220530 185853	0	0	0	1	auto	depthwise	256	0	1	0.0100529291105149	0.981476584693567	9	14	0.0123809953520161	168	13322000	51
20220530 195358	0	0	0	1	auto	depthwise	256	0	1	0.0102518684145742	0.963292743258021	9	27	0.0124938826830725	182	13328000	52
20220530 202546	0	0	0	1	auto	depthwise	256	0	1	0.0101569786103143	0.657987764292862	8	14	0.0113660949224555	162	1.3e+07	53
20220530 202947	0	0	0	1	auto	depthwise	256	0	1	0.0686881262887758	0.278625330997112	9	25	0.0171631099098654	25	12056000	54
20220530 203726	0	0	0	1	auto	depthwise	256	0	1	0.0100253902414951	0.207609293412282	5	3	0.0259123842301627	595	12211000	55
20220530 205908	0	0	0	1	auto	depthwise	256	0	1	0.0101660789224244	0.734856816204175	9	2	0.0161252761327171	1368	13150000	56
20220530 211530	0	0	0	1	auto	depthwise	256	0	1	0.0103645186593708	0.200799510107307	10	28	0.0129300408691353	343	13135000	57
20220530 212043	0	0	0	1	auto	depthwise	256	0	1	0.222383063535153	0.767645618064728	9	30	0.0127999012544511	11	11160000	58
20220530 212222	0	0	0	1	auto	depthwise	256	0	1	0.29864688473428	0.798434196238542	10	3	0.0137176263008772	29	12156000	59
